date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016/9/19,21.95,22.1,21.15,21.1,92287.46,-0.8,-3.65,21.998,22.734,22.207,95964.67,132330.06,103940.68
2016/9/14,21.8,22.06,21.92,21.6,30958.12,0,0,22.618,22.905,22.279,104741.17,148959.11,107169.56
2016/9/13,22.1,22.3,21.9,21.58,60927.69,-0.03,-0.14,23.13,22.79,22.303,144275.06,148105.25,112482.09
2016/9/12,22.5,22.77,21.94,21.5,113090.14,-1.06,-4.61,23.348,22.67,22.348,159330.53,146245.48,118961.45
2016/9/9,23.92,24.06,23.08,22.6,182559.94,-1.14,-4.71,23.516,22.585,22.35,158412.12,140117.16,120647.63
2016/9/8,24.8,24.8,24.25,23.81,136169.94,-0.24,-0.98,23.47,22.451,22.263,168695.44,125246.74,115658.48
2016/9/7,23.2,24.94,24.48,23,228627.59,1.49,6.48,23.192,22.201,22.093,193177.05,116716.33,112294.72
2016/9/6,22.74,24.07,22.99,22.74,136205.03,0.23,1.01,22.45,21.956,21.919,151935.44,101285.71,104605.53
2016/9/5,22.57,23.48,22.78,22.57,108498.1,-0.07,-0.31,21.992,21.811,21.855,133160.42,93292.61,103590.2
2016/9/2,22.33,23.8,22.85,22.33,233976.56,0,0,21.654,21.752,21.773,121822.2,88941.81,102333.38
2016/9/1,20.85,22.86,22.86,20.75,258577.98,2.08,10.01,21.432,21.679,21.713,81798.03,75551.31,97176.78
2016/8/31,20.92,20.94,20.77,20.65,22419.51,0.07,0.34,21.21,21.653,21.665,40255.61,65380,90520.76
2016/8/30,21.12,21.3,20.7,20.61,42329.96,-0.39,-1.85,21.462,21.816,21.735,50635.99,76858.93,98996.66
2016/8/29,21.87,21.87,21.09,21,51807,-0.67,-3.08,21.63,22.025,21.74,53424.79,91677.43,105053.36
2016/8/26,21.79,21.95,21.74,21.61,33855.69,-0.02,-0.09,21.85,22.115,21.708,56061.41,101178.1,107785.28
2016/8/25,21.8,22.03,21.75,21.53,50865.89,-0.26,-1.18,21.926,22.075,21.658,69304.58,106070.22,112279.59
2016/8/24,21.88,22.38,22.03,21.75,74321.39,0.49,2.27,22.096,21.985,21.627,90504.39,107873.1,119053.29
2016/8/23,22.41,22.41,21.54,21.38,56274,-0.66,-2.97,22.17,21.882,21.659,103081.87,107925.36,130838.66
2016/8/22,22.08,22.4,22.19,21.8,64990.1,0,0,22.42,21.898,21.663,129930.07,113887.79,137326.92
2016/8/19,22.6,22.6,22.12,21.99,100071.53,-0.57,-2.51,22.38,21.793,21.653,146294.79,115724.95,144255.63
2016/8/18,22.41,23.04,22.6,22.22,156864.94,0.23,1.03,22.224,21.747,21.545,142835.86,118802.26,146158.88
2016/8/17,22.51,22.78,22.4,21.83,137208.8,-0.38,-1.67,21.874,21.677,21.37,125241.81,115661.52,146652.25
2016/8/16,21.81,23,22.79,21.81,190514.98,0.8,3.64,21.594,21.653,21.173,112768.84,121134.38,142950.65
2016/8/15,21.6,22.38,21.99,21.18,146813.69,0.65,3.05,21.376,21.454,20.934,97845.51,118429.3,135559.48
2016/8/12,20.77,21.6,21.34,20.71,82776.91,0.53,2.55,21.206,21.301,20.75,85155.12,114392.45,131203.14
2016/8/11,21.09,21.25,20.85,20.77,68894.68,-0.16,-0.76,21.27,21.24,20.599,94768.66,118488.95,132369.09
2016/8/10,21.44,21.5,21,20.98,74843.92,-0.68,-3.14,21.48,21.269,20.44,106081.23,130233.48,131321.54
2016/8/9,21.14,21.7,21.7,20.8,115898.33,0.54,2.55,21.712,21.436,20.271,129499.93,153751.96,130282.63
2016/8/8,21.41,21.55,21.14,20.8,83361.75,-0.52,-2.4,21.532,21.428,20.065,139013.09,160766.04,128541.96
2016/8/5,22.15,22.7,21.66,21.55,130844.6,-0.26,-1.19,21.396,21.512,19.905,143629.78,172786.32,129085.94
2016/8/4,21.79,22,21.9,21.31,125457.57,-0.23,-1.04,21.21,21.342,19.745,142209.25,173515.5,132014.14
2016/8/3,21,22.45,22.16,20.51,191937.39,1.39,6.69,21.058,21.062,19.583,154385.73,177642.97,128179.09
2016/8/2,20.55,21.12,20.8,20.17,163464.12,0.38,1.86,21.16,20.693,19.323,178003.99,164766.92,118640.13
2016/8/1,20.37,21.22,20.46,20.03,106445.22,-0.23,-1.11,21.324,20.413,19.054,182519,152689.66,111697.72
2016/7/29,20.92,21.74,20.73,20.52,123741.96,-0.39,-1.85,21.628,20.198,18.793,201942.85,148013.83,107654.54
2016/7/28,21.98,22.14,21.14,20.85,186339.94,-1.52,-6.71,21.474,19.957,18.494,204821.74,146249.24,102737.66
2016/7/27,21.82,23.35,22.67,21.3,310028.69,1.07,4.95,21.066,19.61,18.187,200900.22,132409.6,94574
2016/7/26,22.15,22.78,21.62,21.2,186039.19,-0.36,-1.64,20.226,19.106,17.818,151529.85,106813.3,80121.39
2016/7/25,20.17,21.98,21.98,20,203564.47,2,10.01,19.502,18.701,17.524,122860.31,96317.88,72766.96
2016/7/22,19.41,20.8,19.96,18.82,138136.42,0.87,4.56,18.768,18.298,17.196,94084.82,85385.57,64171.52
2016/7/21,18.31,19.53,19.1,18.25,166732.31,0.63,3.41,18.44,18.147,16.958,87676.73,90512.78,60718.19
2016/7/20,18.17,18.73,18.47,18.09,63176.86,0.48,2.67,18.154,18.103,16.809,63918.98,78715.21,57355.27
2016/7/19,18.3,18.3,18,17.9,42691.51,-0.31,-1.69,17.986,17.952,16.644,62096.75,72513.33,56652.86
2016/7/18,18,18.52,18.31,18,59686.98,-0.01,-0.06,17.9,17.694,16.464,69775.44,70705.78,56000.3
2016/7/15,17.69,18.79,18.32,17.69,106095.98,0.64,3.62,17.828,17.387,16.249,76686.32,67295.25,54712.63
2016/7/14,17.6,17.73,17.67,17.21,47943.58,0.04,0.23,17.854,17.03,16.076,93348.84,59226.09,51174.21
2016/7/13,17.88,17.89,17.63,17.53,54065.69,0.05,0.28,18.052,16.764,15.945,93511.43,56738.41,51577.09
2016/7/12,17.82,17.95,17.57,17.05,81084.98,-0.38,-2.12,17.918,16.529,15.901,82929.92,53429.48,51259.01
2016/7/11,18,18.5,17.95,17.71,94241.36,-0.52,-2.81,17.488,16.347,15.831,71636.11,49216.05,49125.79
2016/7/8,19.5,19.5,18.45,18.15,189408.58,-0.21,-1.12,16.946,16.094,15.758,57904.18,42957.48,46387.27
2016/7/7,18.66,18.66,18.66,18.41,48756.55,1.7,10.02,16.206,15.768,15.639,25103.33,30923.6,38378.63
2016/7/6,16.96,16.96,16.96,16.96,1158.12,1.54,9.99,15.476,15.514,15.505,19965.38,35995.34,38266.72
2016/3/15,15.24,15.51,15.42,15.12,24615.96,0.18,1.18,15.14,15.336,15.463,23929.04,40792.39,40814.65
2016/3/14,15.02,15.55,15.24,15.02,25581.68,0.5,3.39,15.206,15.234,15.473,26795.98,41294.81,41075.53
