,stockCode,securityAbbr,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
202,002049,紫光国芯,27196327,1149446724,3500,13000,430690,1149877414,2017-01-03
203,002050,三花智控,13033410,708248738,0,190600,2100412,710349150,2017-01-03
204,002051,中工国际,12213240,551040598,0,122168,2840406,553881004,2017-01-03
205,002055,得润电子,13717440,822878243,0,400,9540,822887783,2017-01-03
206,002056,横店东磁,10008317,599999112,0,18500,259185,600258297,2017-01-03
207,002063,远光软件,17636958,898731310,0,8800,117304,898848614,2017-01-03
208,002064,华峰氨纶,36879980,379303472,8100,8100,44388,379347860,2017-01-03
209,002065,东华软件,86265288,2768771434,30408,62632,1442415,2770213849,2017-01-03
210,002067,景兴纸业,11995972,952682544,0,800,5360,952687904,2017-01-03
211,002070,众和股份,14777492,1651038836,0,0,0,1651038836,2017-01-03
212,002073,软控股份,14768314,506076965,0,135365,1535039,507612004,2017-01-03
213,002078,太阳纸业,20593390,517154603,0,0,0,517154603,2017-01-03
214,002079,苏州固锝,11310637,678445768,0,0,0,678445768,2017-01-03
215,002081,金 螳 螂,21575952,810808690,7300,70850,699998,811508688,2017-01-03
216,002091,江苏国泰,7494025,664533691,0,0,0,664533691,2017-01-03
217,002092,中泰化学,54884299,1173143358,29400,78631,966375,1174109733,2017-01-03
218,002093,国脉科技,12259661,533685026,0,9800,108388,533793414,2017-01-03
219,002095,生 意 宝,16557122,609692785,3600,18600,752928,610445713,2017-01-03
220,002104,恒宝股份,13545103,1187622813,0,0,0,1187622813,2017-01-03
221,002106,莱宝高科,25848091,860634478,9800,57200,661232,861295710,2017-01-03
222,002108,沧州明珠,15624688,1301399192,24300,25600,529408,1301928600,2017-01-03
223,002117,东港股份,29010479,798966993,0,0,0,798966993,2017-01-03
224,002118,紫鑫药业,5749785,571325013,0,60,438,571325451,2017-01-03
225,002128,露天煤业,11450003,575552155,0,0,0,575552155,2017-01-03
226,002129,中环股份,0,791251505,0,900,7443,791258948,2017-01-03
227,002130,沃尔核材,14775299,987647229,0,66500,946295,988593524,2017-01-03
228,002138,顺络电子,8720549,716665758,0,6504,112974,716778732,2017-01-03
229,002140,东华科技,40223852,380339123,0,4400,65428,380404551,2017-01-03
230,002142,宁波银行,41238036,748316199,16000,231880,4034712,752350911,2017-01-03
231,002146,荣盛发展,13383393,725994762,0,18849,147965,726142727,2017-01-03
232,002148,北纬通信,0,811380540,0,1460,28543,811409083,2017-01-03
233,002151,北斗星通,0,420322625,0,3600,114840,420437465,2017-01-03
234,002152,广电运通,25630474,576908868,0,16422,217263,577126131,2017-01-03
235,002153,石基信息,8748594,390713330,9400,51100,1234065,391947395,2017-01-03
236,002154,报 喜 鸟,28803978,714506946,120500,242500,1353150,715860096,2017-01-03
237,002158,汉钟精机,3171903,244791724,0,0,0,244791724,2017-01-03
238,002161,远 望 谷,3147663,776739243,0,21958,257348,776996591,2017-01-03
239,002176,江特电机,22831008,1418230784,0,1435,17450,1418248234,2017-01-03
240,002179,中航光电,50220524,651140077,214700,255425,9780223,660920300,2017-01-03
241,002181,粤 传 媒,13134667,356429348,0,0,0,356429348,2017-01-03
242,002183,怡 亚 通,36801035,2556469337,30000,38700,427635,2556896972,2017-01-03
243,002185,华天科技,24861620,1275883995,0,994,12177,1275896172,2017-01-03
244,002190,成飞集成,18919692,656447155,8700,9864,324230,656771385,2017-01-03
245,002191,劲嘉股份,8231700,713940233,0,0,0,713940233,2017-01-03
246,002202,金风科技,31006817,1060869443,9000,37300,641560,1061511003,2017-01-03
247,002203,海亮股份,4493398,303498065,0,600,4920,303502985,2017-01-03
248,002204,大连重工,22416072,377687067,0,0,0,377687067,2017-01-03
249,002219,恒康医疗,42201896,1316259651,0,0,0,1316259651,2017-01-03
250,002221,东华能源,16608358,828668035,0,0,0,828668035,2017-01-03
251,002223,鱼跃医疗,9916193,681912466,700,74903,2335475,684247941,2017-01-03
252,002229,鸿博股份,15106996,801450674,5200,13964,333321,801783995,2017-01-03
253,002230,科大讯飞,36541090,2355413122,16200,191673,5249923,2360663045,2017-01-03
254,002233,塔牌集团,16794492,450322897,0,1900,18354,450341251,2017-01-03
255,002236,大华股份,15599587,763805893,18100,182700,2501163,766307056,2017-01-03
256,002237,恒邦股份,26169427,890914267,0,1700,19635,890933902,2017-01-03
257,002241,歌尔股份,23001094,1225584520,14600,82155,2236260,1227820780,2017-01-03
258,002242,九阳股份,8961566,458197345,6700,16400,299792,458497137,2017-01-03
259,002244,滨江集团,20582849,623839319,0,0,0,623839319,2017-01-03
260,002250,联化科技,4977256,323325341,2700,15100,249603,323574944,2017-01-03
261,002251,步 步 高,30154520,756312080,7500,117500,1944625,758256705,2017-01-03
262,002252,上海莱士,17036685,1428840820,15000,346435,8026898,1436867718,2017-01-03
263,002261,拓维信息,4674289,1028918693,0,100,1202,1028919895,2017-01-03
264,002262,恩华药业,5845482,363410419,0,0,0,363410419,2017-01-03
265,002266,浙富控股,9399902,858406591,0,0,0,858406591,2017-01-03
266,002267,陕天然气,2690221,292137603,0,0,0,292137603,2017-01-03
267,002268,卫 士 通,11167608,1341549665,0,23700,748446,1342298111,2017-01-03
268,002269,美邦服饰,37160773,305508307,0,31050,157734,305666041,2017-01-03
269,002271,东方雨虹,13672531,55303128,200,200,4330,55307458,2017-01-03
270,002273,水晶光电,26847142,1545725687,0,22620,454210,1546179897,2017-01-03
271,002275,桂林三金,5736302,353842837,0,2000,37160,353879997,2017-01-03
272,002276,万马股份,12987587,1379396624,0,52193,789158,1380185782,2017-01-03
273,002277,友阿股份,59279344,643221012,22200,24065,380227,643601239,2017-01-03
274,002281,光迅科技,94628887,992576889,0,0,0,992576889,2017-01-03
275,002285,世联行,8529401,506641127,0,0,0,506641127,2017-01-03
276,002287,奇正藏药,21175607,361614967,0,20700,931293,362546260,2017-01-03
277,002292,奥飞娱乐,14057995,1312239221,2200,108400,2472604,1314711825,2017-01-03
278,002293,罗莱生活,1621343,213436094,0,5300,71762,213507856,2017-01-03
279,002294,信立泰,3900434,377915477,8200,51746,1544101,379459578,2017-01-03
280,002299,圣农发展,12090897,362007460,700,6258,132357,362139817,2017-01-03
281,002302,西部建设,3724001,42199536,0,0,0,42199536,2017-01-03
282,002304,洋河股份,11769620,415645312,100,54550,3864868,419510180,2017-01-03
283,002307,北新路桥,10465761,367285550,0,0,0,367285550,2017-01-03
284,002308,威创股份,4042845,576057921,0,39415,580189,576638110,2017-01-03
285,002310,东方园林,25180913,950034652,71000,308930,4411520,954446172,2017-01-03
286,002311,海大集团,8932030,228516149,0,0,0,228516149,2017-01-03
287,002312,三泰控股,28048261,1341661902,0,34,299,1341662201,2017-01-03
288,002313,日海通讯,14407571,1137440077,0,6486,151967,1137592044,2017-01-03
289,002317,众生药业,8556155,526843468,0,0,0,526843468,2017-01-03
290,002318,久立特材,7146623,650766537,0,8500,85765,650852302,2017-01-03
291,002325,洪涛股份,8746998,1038668601,0,4000,32320,1038700921,2017-01-03
292,002340,格林美,16937644,1393344040,0,400,2640,1393346680,2017-01-03
293,002344,海宁皮城,19597939,709933813,0,30600,349146,710282959,2017-01-03
294,002353,杰瑞股份,23904435,779511236,7600,36800,744096,780255332,2017-01-03
295,002355,兴民智通,7877408,364420525,0,15000,205500,364626025,2017-01-03
296,002367,康力电梯,13120268,61753390,0,0,0,61753390,2017-01-03
297,002368,太极股份,13498656,606829275,4000,6100,188063,607017338,2017-01-03
298,002369,卓翼科技,7779359,857363381,0,0,0,857363381,2017-01-03
299,002371,七星电子,12763809,478043898,0,0,0,478043898,2017-01-03
300,002372,伟星新材,5349129,21395464,0,0,0,21395464,2017-01-03
301,002375,亚厦股份,13138806,778421812,0,14355,153886,778575698,2017-01-03
302,002378,章源钨业,5046415,576739718,0,100,988,576740706,2017-01-03
303,002385,大北农,16207150,614305002,0,93400,665942,614970944,2017-01-03
304,002393,力生制药,20947778,857934820,0,0,0,857934820,2017-01-03
305,002396,星网锐捷,0,499913185,0,6449,127045,500040230,2017-01-03
306,002399,海普瑞,19386041,736768810,3100,4700,86856,736855666,2017-01-03
307,002400,省广股份,0,422600815,0,26350,363366,422964181,2017-01-03
308,002401,中海科技,11919395,652981260,0,0,0,652981260,2017-01-03
309,002405,四维图新,43099878,1779466521,3400,80674,1577983,1781044504,2017-01-03
310,002407,多氟多,48461486,1991036984,5000,76000,2076320,1993113304,2017-01-03
311,002408,齐翔腾达,0,1213059483,0,0,0,1213059483,2017-01-03
312,002410,广联达,15623626,705100458,3000,11750,171550,705272008,2017-01-03
313,002414,高德红外,7171309,524476811,13800,13824,320717,524797528,2017-01-03
314,002415,海康威视,13927232,1052241517,42700,154850,3753564,1055995081,2017-01-03
315,002416,爱施德,11233987,675224081,0,0,0,675224081,2017-01-03
316,002419,天虹商场,63249656,469126717,10000,100000,1531000,470657717,2017-01-03
317,002424,贵州百灵,12172913,710821868,0,4854,91692,710913560,2017-01-03
318,002428,云南锗业,13029698,830769404,0,33980,437662,831207066,2017-01-03
319,002429,兆驰股份,14162389,762593338,122675,344661,3505202,766098540,2017-01-03
320,002431,棕榈股份,8766632,999819774,0,87,804,999820578,2017-01-03
321,002437,誉衡药业,8835881,800597479,0,0,0,800597479,2017-01-03
322,002439,启明星辰,10330376,597494522,14000,178740,3723154,601217676,2017-01-03
323,002440,闰土股份,0,436456344,0,0,0,436456344,2017-01-03
324,002444,巨星科技,9951191,694849227,0,107800,1697850,696547077,2017-01-03
325,002450,康得新,82561089,3390544198,10000,336084,6425926,3396970124,2017-01-03
326,002456,欧菲光,217640805,1644300438,19000,68928,2216724,1646517162,2017-01-03
327,002460,赣锋锂业,40185825,2204697108,1000,36353,964809,2205661917,2017-01-03
328,002461,珠江啤酒,2482347,203018598,0,0,0,203018598,2017-01-03
329,002465,海格通信,50188150,1158042360,73700,358000,4270940,1162313300,2017-01-03
330,002467,二六三,6297968,725173006,0,82500,875325,726048331,2017-01-03
331,002470,金正大,19584366,406310057,0,25601,201992,406512049,2017-01-03
332,002474,榕基软件,9864788,932693488,0,9366,128314,932821802,2017-01-03
333,002475,立讯精密,37739366,440151598,17900,55500,1082250,441233848,2017-01-03
334,002476,宝莫股份,46139910,1107309774,70000,70100,742359,1108052133,2017-01-03
335,002482,广田集团,18452753,475916286,0,0,0,475916286,2017-01-03
336,002490,山东墨龙,5770410,448823327,55000,85200,834108,449657435,2017-01-03
337,002493,荣盛石化,18516368,404394675,0,0,0,404394675,2017-01-03
338,002500,山西证券,46529001,1945425654,0,276800,3343744,1948769398,2017-01-03
339,002501,利源精制,48884187,1098725129,0,0,0,1098725129,2017-01-03
340,002508,老板电器,5853620,340436051,0,4150,153301,340589352,2017-01-03
341,002518,科士达,9509105,393739806,0,25525,546746,394286552,2017-01-03
342,002521,齐峰新材,23196062,143562000,0,0,0,143562000,2017-01-03
343,002524,光正集团,25036220,697382589,0,30000,316200,697698789,2017-01-03
344,002556,辉隆股份,253332106,829817291,130000,140000,1548400,831365691,2017-01-03
345,002557,洽洽食品,10685561,51008944,0,0,0,51008944,2017-01-03
346,002563,森马服饰,2697456,10950788,0,0,0,10950788,2017-01-03
347,002570,贝因美,14199877,479399978,0,76628,1028348,480428326,2017-01-03
348,002571,德力股份,0,563403755,0,0,0,563403755,2017-01-03
349,002573,清新环境,10988644,707650368,16500,70038,1229867,708880235,2017-01-03
350,002574,明牌珠宝,12416415,447749396,0,0,0,447749396,2017-01-03
351,002577,雷柏科技,8492581,670380216,600,2438,74140,670454356,2017-01-03
352,002579,中京电子,0,442929647,0,0,0,442929647,2017-01-03
353,002588,史丹利,9441848,87276923,0,0,0,87276923,2017-01-03
354,002594,比亚迪,33329130,1671532087,31000,80917,4032094,1675564181,2017-01-03
355,002595,豪迈科技,2773966,7233236,0,0,0,7233236,2017-01-03
356,002603,以岭药业,13585353,634514121,0,11900,208726,634722847,2017-01-03
357,002642,荣之联,12050160,847199500,6500,9325,187712,847387212,2017-01-03
