,code,name,area
326,603979,金诚信,北京
327,300071,华谊嘉信,北京
328,600206,有研新材,北京
329,002405,四维图新,北京
330,300369,绿盟科技,北京
331,601628,中国人寿,北京
332,600658,电子城,北京
333,601888,中国国旅,北京
334,002721,金一文化,北京
335,300445,康斯特,北京
336,300365,恒华科技,北京
337,300003,乐普医疗,北京
338,000008,神州高铁,北京
339,600159,大龙地产,北京
340,600028,中国石化,北京
341,600489,中金黄金,北京
342,300200,高盟新材,北京
343,600764,中电广通,北京
344,300384,三联虹普,北京
345,601985,中国核电,北京
346,601126,四方股份,北京
347,300289,利德曼,北京
348,600743,华远地产,北京
349,601111,中国国航,北京
350,300383,光环新网,北京
351,300318,博晖创新,北京
352,600855,航天长峰,北京
353,300011,鼎汉技术,北京
354,600085,同仁堂,北京
355,002662,京威股份,北京
356,601881,中国银河,北京
357,600138,中青旅,北京
358,601718,际华集团,北京
359,601886,江河集团,北京
360,002186,全 聚 德,北京
361,300231,银信科技,北京
362,300229,拓尔思,北京
363,601988,中国银行,北京
364,600861,北京城乡,北京
365,600299,安迪苏,北京
366,002829,星网宇达,北京
367,601588,北辰实业,北京
368,601989,中国重工,北京
369,600313,农发种业,北京
370,601186,中国铁建,北京
371,600195,中牧股份,北京
372,603888,新华网,北京
373,002739,万达院线,北京
374,300431,暴风集团,北京
375,300251,光线传媒,北京
376,300455,康拓红外,北京
377,600058,五矿发展,北京
378,601390,中国中铁,北京
379,002392,北京利尔,北京
380,002279,久其软件,北京
381,600007,中国国贸,北京
382,000046,泛海控股,北京
383,601800,中国交建,北京
384,300444,双杰电气,北京
385,300608,思特奇,北京
386,300223,北京君正,北京
387,600886,国投电力,北京
388,601336,新华保险,北京
389,002701,奥瑞金,北京
390,600288,大恒科技,北京
391,601766,中国中车,北京
392,603778,乾景园林,北京
393,300150,世纪瑞尔,北京
394,600055,万东医疗,北京
395,601939,建设银行,北京
396,601117,中国化学,北京
397,300449,汉邦高科,北京
398,603698,航天工程,北京
399,600246,万通地产,北京
400,000729,燕京啤酒,北京
401,000969,安泰科技,北京
402,600270,外运发展,北京
403,000666,经纬纺机,北京
404,600578,京能电力,北京
405,300302,同有科技,北京
406,002065,东华软件,北京
