,code,name,date,nums,nlast,count,clast,amount,ratio
158,600835,上海机电,2015-03-31,4,-70,48.20,-1723.98,1219.94,0.06
159,600832,东方明珠,2015-03-31,1,-105,0.30,-5656.29,4.89,0.00
160,600830,香溢融通,2015-03-31,1,-37,78.05,-600.58,1157.49,0.17
161,600829,人民同泰,2015-03-31,4,-3,879.33,-621.51,13444.96,1.52
162,600827,百联股份,2015-03-31,5,-111,1160.49,-3410.83,25071.29,0.75
163,600823,世茂股份,2015-03-31,2,-83,127.09,-2150.11,2520.25,0.05
164,600820,隧道股份,2015-03-31,17,-76,3430.57,-4568.00,38113.68,1.09
165,600816,安信信托,2015-03-31,1,-64,11.31,-939.81,385.50,0.00
166,600815,*ST厦工,2015-03-31,2,-12,4.00,-109.04,51.08,0.00
167,600812,华北制药,2015-03-31,1,-54,131.50,-9951.99,1033.59,0.08
168,600811,东方集团,2015-03-31,1,-58,121.88,-2059.26,1354.09,0.07
169,600809,山西汾酒,2015-03-31,1,-132,15.08,-2835.23,334.02,0.02
170,600805,悦达投资,2015-03-31,7,-56,1244.39,-3656.76,18864.89,1.47
171,600804,鹏博士,2015-03-31,44,-109,8661.92,-2761.93,282811.72,6.23
172,600803,新奥股份,2015-03-31,1,-44,806.44,151.14,14757.78,0.82
173,600802,福建水泥,2015-03-31,2,-14,426.48,-437.41,4951.38,1.12
174,600801,华新水泥,2015-03-31,2,-69,876.29,-5629.05,10489.16,0.90
175,600798,宁波海运,2015-03-31,3,-7,666.67,224.65,4713.33,0.65
176,600797,浙大网新,2015-03-31,6,-32,18.28,-528.24,196.87,0.02
177,600795,国电电力,2015-03-31,18,-142,1951.18,-42811.86,8487.64,0.10
178,600787,中储股份,2015-03-31,2,-54,168.00,-3349.86,2220.92,0.09
179,600783,鲁信创投,2015-03-31,5,-78,254.39,-1451.12,9097.08,0.34
180,600780,通宝能源,2015-03-31,6,-55,3992.99,-1454.29,36416.08,3.48
181,600778,友好集团,2015-03-31,1,-13,86.00,-286.74,970.08,0.28
182,600777,新潮能源,2015-03-31,1,-5,19.94,-54.94,334.86,0.01
183,600776,东方通信,2015-03-31,4,-41,911.00,-2548.60,12198.29,0.95
184,600773,西藏城投,2015-03-31,3,-55,1019.68,-1900.04,17100.05,1.40
185,600771,广誉远,2015-03-31,4,-2,2069.30,1304.42,73563.47,8.49
186,600770,综艺股份,2015-03-31,3,-57,3140.31,-51.96,45848.54,2.84
187,600767,*ST运盛,2015-03-31,8,-10,984.30,-558.77,18554.05,2.89
188,600765,中航重机,2015-03-31,1,-82,21.72,-8746.55,562.75,0.03
189,600763,通策医疗,2015-03-31,17,-33,2425.64,-2114.18,166496.20,7.57
190,600761,安徽合力,2015-03-31,4,-92,170.42,-4507.56,2948.30,0.28
191,600759,洲际油气,2015-03-31,9,-53,3861.11,-1768.49,53712.47,2.44
192,600757,长江传媒,2015-03-31,1,-37,158.91,-1435.16,2046.75,0.13
193,600756,浪潮软件,2015-03-31,1,-5,85.33,80.43,3407.16,0.26
194,600755,厦门国贸,2015-03-31,5,-47,562.49,-536.98,7796.10,0.34
195,600754,锦江股份,2015-03-31,3,-121,756.17,-3722.93,21747.33,1.69
196,600750,江中药业,2015-03-31,5,-79,2530.74,-1022.81,75846.28,8.44
197,600749,西藏旅游,2015-03-31,2,-17,382.06,-1831.07,6548.50,2.02
198,600747,*ST大控,2015-03-31,1,-44,0.43,-2833.57,2.66,0.00
199,600743,华远地产,2015-03-31,2,-44,668.84,-414.23,3919.43,0.29
200,600742,一汽富维,2015-03-31,5,-38,358.00,-1707.85,12483.57,0.85
201,600741,华域汽车,2015-03-31,25,-138,11002.89,-5267.74,234648.27,3.84
202,600739,辽宁成大,2015-03-31,20,-82,4823.65,-2864.03,134676.35,3.53
203,600737,中粮糖业,2015-03-31,1,-58,10.78,-2217.11,117.29,0.01
204,600735,新华锦,2015-03-31,2,-1,223.60,105.63,5379.78,0.59
205,600729,重庆百货,2015-03-31,2,-84,469.59,-2949.40,13524.27,1.16
206,600728,佳都科技,2015-03-31,5,-14,512.63,27.52,13359.21,0.39
207,600718,东软集团,2015-03-31,14,-102,1606.04,-4480.90,45145.66,1.30
208,600715,文投控股,2015-03-31,4,-7,128.62,-1057.64,3142.30,0.29
209,600713,南京医药,2015-03-31,1,-9,158.02,-965.11,1559.64,0.23
210,600711,盛屯矿业,2015-03-31,1,-4,1499.99,1486.54,21644.80,1.03
211,600707,彩虹股份,2015-03-31,6,-5,3051.62,514.13,42020.86,4.15
212,600706,曲江文旅,2015-03-31,2,-12,1171.54,-425.69,22809.93,6.59
213,600705,中航资本,2015-03-31,15,-119,3444.71,-17378.14,82328.66,0.45
214,600704,物产中大,2015-03-31,3,-59,268.39,-2655.63,5606.66,0.30
215,600703,三安光电,2015-03-31,28,-159,8057.98,-15912.78,171312.66,1.98
216,600702,沱牌舍得,2015-03-31,1,-94,774.67,-3629.00,15958.15,2.30
217,600699,均胜电子,2015-03-31,5,-63,652.49,-1199.96,22269.41,0.95
218,600697,欧亚集团,2015-03-31,2,-70,849.66,-4398.82,24257.67,5.48
219,600694,大商股份,2015-03-31,8,-104,1108.45,-2309.45,59169.14,3.77
