,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
476,000906,浙商中拓,0.11,37.5,,2.63,,4516.16,46.08,,04-29
477,600110,诺德股份,0.03,301.3,,1.88,,3550.9,302.08,,04-29
478,000413,东旭光电,0.08,-11.11,,1.75,,39278.26,12.95,,04-29
479,600860,*ST京城,-0.04,-42.86,,-3.39,,-1884.86,-37.86,,04-29
480,000815,美利云,-0.01,-85.71,,-0.5,,-988.28,-57.02,,04-29
481,600039,四川路桥,0.03,-19.2,,0.96,,9139.44,-19.4,,04-29
482,600064,南京高科,0.13,-62.0,,1.02,,10282.85,-61.94,,04-29
483,600446,金证股份,-0.03,-189.31,,-1.53,,-2583.72,-189.56,,04-29
484,600470,六国化工,-0.04,-42.86,,-1.04,,-2081.4,-38.93,,04-29
485,600099,林海股份,0.0,-57.63,,0.09,,55.33,-56.88,,04-29
486,600491,龙元建设,0.09,73.44,,2.24,,11948.66,73.49,,04-29
487,000931,中关村,-0.04,75.95,,-2.58,,-3139.7,96.54,,04-29
488,603198,迎驾贡酒,0.36,12.5,,7.07,,28824.65,12.94,,04-29
489,600133,东湖高新,1.08,5599.47,,30.96,,68683.56,5591.93,,04-29
490,000506,中润资源,-0.04,-327.53,,-2.58,,-3763.91,-327.91,,04-29
491,000958,东方能源,0.12,-61.29,,2.45,,6541.13,-61.71,,04-29
492,600883,博闻科技,0.16,-2651.56,,5.69,,3855.78,-2658.79,,04-29
493,002284,亚太股份,0.06,1.72,,1.63,,4352.89,2.25,,04-29
494,002605,姚记扑克,0.06,-14.5,,1.67,,2530.85,-9.13,,04-29
495,000528,柳工,0.1,624.81,,1.22,,10845.0,623.09,,04-29
496,000976,春晖股份,0.01,117.39,,0.48,,1712.11,202.33,,04-29
497,600900,长江电力,0.12,7.51,,2.09,,270800.34,43.38,,04-29
498,600172,黄河旋风,0.14,9.03,6.27,2.24,,10994.59,9.02,,04-29
499,600967,内蒙一机,0.04,-171.93,,0.96,,6956.32,-247.65,,04-29
500,002316,键桥通讯,-0.05,-600.0,,-2.51,,-2127.53,-875.67,,04-29
501,603385,惠达卫浴,0.14,7.69,,1.76,,3993.12,45.97,,04-29
502,600190,锦州港,0.02,208.84,,0.7,,4140.21,208.87,,04-29
503,600584,长电科技,0.04,47.06,,0.83,,3829.77,36.03,,04-29
504,002653,海思科,0.04,0.0,,1.94,,4435.6,5.46,,04-29
505,300135,宝利国际,0.01,60.0,,0.59,,700.42,44.64,,04-29
506,601088,中国神华,0.62,165.09,16.37,3.84,1.26,1223500.0,165.57,,04-29
507,600243,青海华鼎,0.12,-340.0,,3.03,,5334.09,-341.72,,04-29
508,601139,深圳燃气,0.1,0.0,3.59,2.84,0.03,22211.8,5.47,,04-29
509,600265,ST景谷,-0.05,-16.67,,-36.64,,-628.31,-21.51,,04-29
510,000659,*ST中富,-0.01,-75.0,,-2.28,,-1087.34,-77.96,,04-29
511,600655,豫园商城,0.14,495.65,,1.84,,19638.14,504.23,,04-29
