,broker,count,bamount,bcount,samount,scount,top3
484,华泰证券股份有限公司上海长宁区仙霞路证券营业部,5,3072.53,2,3848.58,3,"汉钟精机,凤凰光学,钧达股份,"
485,华鑫证券有限责任公司上海莘庄证券营业部,1,0.0,0,1.32,1,绿康生化
486,兴业证券股份有限公司上海民生路证券营业部,3,206.45,1,261.16,2,"中葡股份,国际医学,绿康生化"
487,英大证券有限责任公司武汉汉阳大道证券营业部,1,706.44,1,0.0,0,天山生物
488,安信证券股份有限公司东莞常平大道证券营业部,1,491.73,1,0.0,0,天山生物
489,中国银河证券股份有限公司厦门虎园路证券营业部,1,222.57,1,0.0,0,天山生物
490,中国银河证券股份有限公司西宁长江路证券营业部,1,194.8,1,0.0,0,天山生物
491,中信证券股份有限公司上海漕溪北路证券营业部,6,10136.78,5,1296.26,1,"濮阳惠成,中成股份,津膜科技,"
492,招商证券股份有限公司沈阳惠工街证券营业部,3,1371.68,2,3206.33,1,"清源股份,微光股份,天山生物"
493,华鑫证券有限责任公司合肥梅山路证券营业部,1,2361.75,1,0.0,0,津膜科技
494,万联证券有限责任公司南京中山路证券营业部,2,2354.64,1,2727.35,1,津膜科技
495,中泰证券股份有限公司上海东方路证券营业部,1,0.0,0,844.05,1,天山生物
496,宏信证券有限责任公司成都红庙子街证券营业部,1,2134.65,1,0.0,0,津膜科技
497,长江证券股份有限公司上海番禺路证券营业部,1,0.0,0,418.08,1,天山生物
498,川财证券有限责任公司上海分公司,2,1746.61,2,0.0,0,"津膜科技,新日股份"
499,中山证券有限责任公司杭州杨公堤证券营业部,3,243.76,1,560.57,2,"佳讯飞鸿,正虹科技,天山生物"
500,中原证券股份有限公司许昌分公司,2,0.0,0,733.18,2,"太龙照明,津膜科技"
501,海通证券股份有限公司上海建国西路证券营业部,4,1431.29,2,1074.08,2,"银之杰,四通新材,华灿光电,"
502,广发证券股份有限公司武汉沿江大道证券营业部,2,0.0,0,550.61,2,"太龙照明,津膜科技"
503,中信建投证券股份有限公司张家港人民中路证券营业部,1,0.0,0,365.12,1,津膜科技
504,方正证券股份有限公司上海保定路证券营业部,8,4765.06,4,6445.84,4,"张家港行,新宏泽,新日股份,"
505,中国中投证券有限责任公司深圳深南大道证券营业部,10,9132.04,8,2025.23,2,"濮阳惠成,太极实业,新易盛,"
506,华泰证券股份有限公司无锡苏锡路证券营业部,1,566.69,1,0.0,0,新易盛
507,中国银河证券股份有限公司郑州经三路证券营业部,3,0.0,0,1472.85,3,"中持股份,飞凯材料,新易盛"
508,中国银河证券股份有限公司上海杨浦区靖宇东路证券营业部,4,0.0,0,31520.15,4,"新易盛,北京科锐"
509,上海证券有限责任公司青浦证券营业部,1,0.0,0,360.2,1,新易盛
510,山西证券股份有限公司宁波惊驾路证券营业部,1,0.0,0,346.12,1,新易盛
511,东北证券股份有限公司长春同志街第三证券营业部,1,0.0,0,270.15,1,新易盛
512,国信证券股份有限公司南昌八一大道证券营业部,1,1071.96,1,0.0,0,优博讯
513,财富证券有限责任公司南京新模范马路证券营业部,1,832.41,1,0.0,0,优博讯
514,大通证券股份有限公司上海高平路证券营业部,1,605.48,1,0.0,0,优博讯
515,中国银河证券股份有限公司浙江分公司,2,1199.35,2,0.0,0,"优博讯,微光股份"
516,中国民族证券有限责任公司哈尔滨东大直街证券营业部,2,1309.52,1,790.79,1,"中化岩土,优博讯"
517,广发证券股份有限公司温州瓯江路证券营业部,1,0.0,0,544.17,1,优博讯
518,东莞证券股份有限公司深圳新闻路证券营业部,2,1630.87,2,0.0,0,"渤海股份,三超新材"
519,世纪证券有限责任公司樟树富通街证券营业部,1,0.0,0,520.79,1,优博讯
520,安信证券股份有限公司广州滨江中路证券营业部,2,0.0,0,3.73,2,"友讯达,三超新材"
521,安信证券股份有限公司宜宾金沙江大道证券营业部,1,0.0,0,2.55,1,三超新材
522,安信证券股份有限公司玉林广场西路证券营业部,1,0.0,0,2.55,1,三超新材
523,财达证券股份有限公司佳木斯长安东路证券营业部,1,0.0,0,2.55,1,三超新材
524,长城证券股份有限公司北京西直门外大街证券营业部,1,0.0,0,2.55,1,三超新材
525,西南证券股份有限公司西宁五四大街证券营业部,1,1151.24,1,0.0,0,陇神戎发
526,国泰君安证券股份有限公司成都北一环路证券营业部,3,4485.15,3,0.0,0,"横河模具,三德科技,可立克"
527,华鑫证券有限责任公司深圳分公司,1,1221.31,1,0.0,0,横河模具
528,财达证券股份有限公司石家庄新华路证券营业部,3,1532.66,1,2150.35,2,陇神戎发
529,华泰证券股份有限公司成都晋阳路证券营业部,4,767.86,1,2940.95,3,"国际医学,新宏泽,佳讯飞鸿,"
530,中泰证券股份有限公司上海甘河路证券营业部,1,0.0,0,510.08,1,陇神戎发
531,华泰证券股份有限公司武汉中央商务区珠江路证券营业部,2,551.59,1,574.48,1,横河模具
532,方正证券股份有限公司永州南津中路证券营业部,1,0.0,0,1164.81,1,横河模具
533,恒泰证券股份有限公司上海龙华东路证券营业部,1,0.0,0,1018.24,1,横河模具
534,国泰君安证券股份有限公司郑州黄河路证券营业部,6,2242.77,2,3029.41,4,"钧达股份,太龙照明,横河模具"
535,安信证券股份有限公司武汉中北路证券营业部,3,0.0,0,1097.3,3,"金能科技,陇神戎发,横河模具"
536,广发证券股份有限公司深圳高新南一道证券营业部,1,515.8,1,0.0,0,熙菱信息
537,新时代证券股份有限公司包头广场西道证券营业部,1,389.76,1,0.0,0,熙菱信息
538,长城证券股份有限公司武汉关山大道证券营业部,4,1546.57,2,2961.53,2,"飞荣达,新宏泽,海默科技,"
539,华泰证券股份有限公司南通姚港路证券营业部,5,21424.86,4,4157.43,1,"京汉股份,石化机械,飞荣达"
540,中国国际金融股份有限公司北京建国门外大街证券营业部,3,0.0,0,17769.26,3,"中科创达,陕西金叶,飞荣达"
541,广发证券股份有限公司台州市府大道证券营业部,1,0.0,0,744.0,1,飞荣达
542,西南证券股份有限公司成都天府大道证券营业部,1,0.0,0,496.08,1,飞荣达
543,中信证券（山东）有限责任公司青岛香港中路证券营业部,1,0.0,0,324.11,1,飞荣达
544,中国银河证券股份有限公司北京望京证券营业部,1,425.94,1,0.0,0,新劲刚
545,平安证券股份有限公司重庆分公司,1,0.0,0,283.18,1,飞荣达
546,东方证券股份有限公司杭州龙井路证券营业部,5,704.03,3,5261.8,2,"新劲刚,金陵体育,津膜科技,"
547,安信证券股份有限公司清远金碧路证券营业部,2,390.56,1,369.24,1,新劲刚
548,国元证券股份有限公司北京东直门外大街证券营业部,2,600.26,2,0.0,0,"新劲刚,光莆股份"
549,万联证券有限责任公司广州珠江新城证券营业部,2,0.0,0,1732.33,2,"钧达股份,长川科技"
550,国信证券股份有限公司中山分公司,2,0.0,0,1345.95,2,"汇金通,新劲刚"
551,东海证券股份有限公司杭州秋涛北路证券营业部,1,0.0,0,1050.1,1,长川科技
552,金元证券股份有限公司杭州解放东路证券营业部,2,0.0,0,1154.92,2,"新劲刚,北京君正"
553,东方证券股份有限公司上海闵行区都市路证券营业部,3,1259.55,1,3962.79,2,"太空板业,新劲刚"
