,code,name,date,weight
400,002437,誉衡药业,2017-04-05,0.17
401,600597,光明乳业,2017-04-05,0.2
402,600848,上海临港,2017-04-05,0.15
403,000758,中色股份,2017-04-05,0.27
404,002191,劲嘉股份,2017-04-05,0.23
405,300039,上海凯宝,2017-04-05,0.13
406,601929,吉视传媒,2017-04-05,0.22
407,600645,中源协和,2017-04-05,0.2
408,600586,金晶科技,2017-04-05,0.13
409,600628,新世界,2017-04-05,0.12
410,000697,炼石有色,2017-04-05,0.26
411,600770,综艺股份,2017-04-05,0.18
412,002276,万马股份,2017-04-05,0.19
413,600425,*ST青松,2017-04-05,0.14
414,000592,平潭发展,2017-04-05,0.19
415,600108,亚盛集团,2017-04-05,0.2
416,002315,焦点科技,2017-04-05,0.09
417,000727,华东科技,2017-04-05,0.21
418,600422,昆药集团,2017-04-05,0.17
419,600517,置信电气,2017-04-05,0.16
420,600850,华东电脑,2017-04-05,0.12
421,601908,京运通,2017-04-05,0.1
422,601016,节能风电,2017-04-05,0.09
423,600862,中航高科,2017-04-05,0.12
424,600433,冠豪高新,2017-04-05,0.13
425,002354,天神娱乐,2017-04-05,0.14
426,000703,恒逸石化,2017-04-05,0.17
427,000062,深圳华强,2017-04-05,0.14
428,600611,大众交通,2017-04-05,0.19
429,600397,安源煤业,2017-04-05,0.09
430,002498,汉缆股份,2017-04-05,0.14
431,000025,特 力Ａ,2017-04-05,0.06
432,600161,天坛生物,2017-04-05,0.25
433,002646,青青稞酒,2017-04-05,0.09
434,603019,XD中科曙,2017-04-05,0.23
435,002309,中利集团,2017-04-05,0.11
436,002004,华邦健康,2017-04-05,0.29
437,600282,南钢股份,2017-04-05,0.18
438,002551,尚荣医疗,2017-04-05,0.1
439,002428,云南锗业,2017-04-05,0.14
440,000761,本钢板材,2017-04-05,0.04
441,600773,西藏城投,2017-04-05,0.16
442,603198,迎驾贡酒,2017-04-05,0.13
443,600831,广电网络,2017-04-05,0.11
444,000860,顺鑫农业,2017-04-05,0.22
445,600098,广州发展,2017-04-05,0.19
446,000031,中粮地产,2017-04-05,0.22
447,300324,旋极信息,2017-04-05,0.29
448,000426,兴业矿业,2017-04-05,0.11
449,600351,亚宝药业,2017-04-05,0.12
450,600180,瑞茂通,2017-04-05,0.1
451,000861,海印股份,2017-04-05,0.12
452,600169,太原重工,2017-04-05,0.2
453,002588,史丹利,2017-04-05,0.11
454,000988,华工科技,2017-04-05,0.23
455,600410,华胜天成,2017-04-05,0.22
456,600851,海欣股份,2017-04-05,0.21
457,000543,皖能电力,2017-04-05,0.18
458,600884,杉杉股份,2017-04-05,0.24
459,002375,亚厦股份,2017-04-05,0.23
460,002273,水晶光电,2017-04-05,0.29
461,000939,凯迪生态,2017-04-05,0.23
462,002261,拓维信息,2017-04-05,0.19
463,000973,佛塑科技,2017-04-05,0.16
464,002373,千方科技,2017-04-05,0.18
465,002416,爱施德,2017-04-05,0.09
466,601010,文峰股份,2017-04-05,0.16
467,000667,美好置业,2017-04-05,0.23
468,600748,上实发展,2017-04-05,0.11
469,002249,大洋电机,2017-04-05,0.07
