,code,name
196,300199,翰宇药业
197,300200,高盟新材
198,300201,海伦哲
199,300202,聚龙股份
200,300203,聚光科技
201,300204,舒泰神
202,300205,天喻信息
203,300206,理邦仪器
204,300207,欣旺达
205,300208,恒顺众昇
206,300209,天泽信息
207,300210,森远股份
208,300211,亿通科技
209,300212,易华录
210,300213,佳讯飞鸿
211,300214,日科化学
212,300215,电科院
213,300216,千山药机
214,300217,东方电热
215,300218,安利股份
216,300219,鸿利智汇
217,300220,金运激光
218,300221,银禧科技
219,300222,科大智能
220,300223,北京君正
221,300224,正海磁材
222,300225,金力泰
223,300226,上海钢联
224,300227,光韵达
225,300228,富瑞特装
226,300229,拓尔思
227,300230,永利股份
228,300231,银信科技
229,300232,洲明科技
230,300233,金城医药
231,300234,开尔新材
232,300235,方直科技
233,300236,上海新阳
234,300237,美晨科技
235,300238,冠昊生物
236,300239,东宝生物
237,300240,飞力达
238,300241,瑞丰光电
239,300242,明家联合
240,300243,瑞丰高材
241,300244,迪安诊断
242,300245,天玑科技
243,300246,宝莱特
244,300247,乐金健康
245,300248,新开普
246,300249,依米康
247,300250,初灵信息
248,300251,光线传媒
249,300252,金信诺
250,300253,卫宁健康
251,300254,仟源医药
252,300255,常山药业
253,300256,星星科技
254,300257,开山股份
255,300258,精锻科技
256,300259,新天科技
257,300260,新莱应材
258,300261,雅本化学
259,300262,巴安水务
260,300263,隆华节能
261,300264,佳创视讯
262,300265,通光线缆
263,300266,兴源环境
264,300267,尔康制药
265,300268,万福生科
266,300269,联建光电
267,300270,中威电子
268,300271,华宇软件
269,300272,开能环保
270,300273,和佳股份
271,300274,阳光电源
272,300275,梅安森
273,300276,三丰智能
274,300277,海联讯
275,300278,华昌达
276,300279,和晶科技
277,300280,南通锻压
278,300281,金明精机
279,300282,汇冠股份
280,300283,温州宏丰
281,300284,苏交科
282,300285,国瓷材料
283,300286,安科瑞
284,300287,飞利信
285,300288,朗玛信息
286,300289,利德曼
287,300290,荣科科技
288,300291,华录百纳
289,300292,吴通控股
290,300293,蓝英装备
291,300294,博雅生物
292,300295,三六五网
293,300296,利亚德
294,300297,蓝盾股份
295,300298,三诺生物
296,300299,富春股份
297,300300,汉鼎宇佑
298,300301,长方集团
299,300302,同有科技
300,300303,聚飞光电
301,300304,云意电气
302,300305,裕兴股份
303,300306,远方光电
304,300307,慈星股份
305,300308,中际装备
306,300309,吉艾科技
307,300310,宜通世纪
308,300311,任子行
309,300312,邦讯技术
310,300313,天山生物
311,300314,戴维医疗
312,300315,掌趣科技
313,300316,晶盛机电
314,300317,珈伟股份
315,300318,博晖创新
316,300319,麦捷科技
317,300320,海达股份
318,300321,同大股份
319,300322,硕贝德
320,300323,华灿光电
321,300324,旋极信息
322,300325,德威新材
323,300326,凯利泰
324,300327,中颖电子
325,300328,宜安科技
326,300329,海伦钢琴
327,300330,华虹计通
328,300331,苏大维格
329,300332,天壕环境
330,300333,兆日科技
331,300334,津膜科技
332,300335,迪森股份
333,300336,新文化
334,300337,银邦股份
335,300338,开元股份
336,300339,润和软件
337,300340,科恒股份
338,300341,麦迪电气
339,300342,天银机电
340,300343,联创互联
341,300344,太空板业
342,300345,红宇新材
343,300346,南大光电
344,300347,泰格医药
345,300348,长亮科技
346,300349,金卡智能
347,300350,华鹏飞
348,300351,永贵电器
349,300352,北信源
350,300353,东土科技
351,300354,东华测试
352,300355,蒙草生态
353,300356,光一科技
354,300357,我武生物
355,300358,楚天科技
356,300359,全通教育
357,300360,炬华科技
358,300362,天翔环境
359,300363,博腾股份
360,300364,中文在线
361,300365,恒华科技
362,300366,创意信息
363,300367,东方网力
364,300368,汇金股份
365,300369,绿盟科技
366,300370,安控科技
367,300371,汇中股份
368,300372,欣泰电气
369,300373,扬杰科技
370,300374,恒通科技
371,300375,鹏翎股份
372,300376,易事特
373,300377,赢时胜
374,300378,鼎捷软件
