,code,name,mbrg,nprg,nav,targ,epsg,seg
1807,300351,永贵电器,45.7933,-1.2724,146.4746,136.3275,-15.6118,150.14700000000002
1808,601368,绿城水务,4.591,-1.3176,8.2267,6.9209,-1.3158,8.2267
1809,000059,华锦股份,23.0847,-1.7615,19.1823,7.2066,-2.6051,19.432000000000002
1810,600061,国投安信,-1.814,-1.8681,11.8107,12.7009,-16.6667,0.5468
1811,300443,金雷风电,44.2013,-2.0612,64.3506,57.99,-7.4203,64.3506
1812,600939,重庆建工,-0.6829,-2.2024,13.7788,4.6558,,14.0746
1813,601163,三角轮胎,36.3087,-2.252,176.3983,48.8794,-25.9259,176.3277
1814,600748,上实发展,15.8002,-2.2889,7.4773,20.8908,0.0,5.6421
1815,601515,东风股份,12.7778,-2.3575,-3.3441,18.2169,0.0,-2.7969
1816,002852,道道全,17.1483,-2.4145,,,-2.8571,
1817,000677,恒天海龙,24.5309,-2.4472,2.5571,0.0111,-12.5,1.5856
1818,603345,安井食品,11.2323,-2.5458,,,-13.7931,
1819,300581,晨曦航空,18.6737,-2.5587,,,-26.8722,
1820,002799,环球印务,19.023,-2.5612,,,-25.0,
1821,600018,上港集团,12.4841,-2.6842,4.5622,21.6393,-6.2738,5.1566
1822,000905,厦门港务,63.2772,-2.6993,5.7995,45.3549,-33.3333,-6.9386
1823,600137,浪莎股份,-11.1151,-2.8046,3.0095,7.3093,-2.7027,3.0095
1824,002219,恒康医疗,30.0946,-2.8665,9.4214,32.9794,0.2597,9.4176
1825,603861,白云电器,-8.2693,-2.9239,9.1123,0.9509,-14.6273,9.1123
1826,300192,科斯伍德,-6.8806,-2.9274,3.9643,1.5219,-10.75,3.5039
1827,002491,通鼎互联,-9.2914,-3.0088,47.6647,25.5728,2.0804,49.7302
1828,603887,城地股份,-0.2049,-3.2073,,,-27.2727,
1829,300282,汇冠股份,19.4885,-3.2203,89.0262,69.2645,0.0,92.3266
1830,000883,湖北能源,37.208,-3.2317,8.4245,4.0099,11.4754,9.7012
1831,000636,风华高科,12.5528,-3.3467,0.3419,4.7559,0.0,0.0621
1832,002863,今飞凯达,10.8853,-3.4369,,,12.5,
1833,600705,中航资本,32.6538,-3.6933,10.0418,11.838,-50.0,10.2126
1834,600037,歌华有线,-6.7606,-3.738,9.2582,6.9911,-3.8462,9.2872
1835,603168,莎普爱思,-13.1734,-4.1062,74.2156,33.9537,-12.5,74.2156
1836,603618,杭电股份,3.2039999999999997,-4.1269,45.722,29.756,-75.0,46.8993
1837,600284,浦东建设,-12.6693,-4.2053,-19.7048,-17.1551,14.6172,2.6492
1838,600406,国电南瑞,1.5701,-4.2307,9.7484,6.9551,0.0,9.8656
1839,300006,莱美药业,-0.2494,-4.385,-1.0963,0.8026,-70.0,-0.8294
1840,000698,沈阳化工,59.8123,-4.3929,8.4357,7.495,-4.717,8.4438
1841,603885,吉祥航空,22.0216,-4.4054,108.5332,30.6574,-17.5,110.6924
1842,002111,威海广泰,8.1449,-4.4261,34.8009,27.7509,0.0,32.1861
1843,002393,力生制药,20.678,-4.6386,1.4578,3.5045,-4.3478,1.4578
1844,000536,华映科技,1.8782,-4.6848,336.1583,105.469,-58.8988,347.7404
1845,300079,数码视讯,7.5679,-4.771,7.9971,-0.6306,4.4248,10.1174
1846,000869,张裕A,0.7627,-4.905,7.2889,6.8151,-5.0633,7.5075
1847,300635,达安股份,-1.1201,-4.9175,,,-5.2632,
1848,600717,天津港,16.4644,-4.9971,5.6464,-1.2121,0.0,6.1836
1849,600830,香溢融通,4.4813,-5.0092,1.6848,-8.4883,-2.7778,1.7372
1850,603601,再升科技,23.5974,-5.0722,205.7233,186.0145,-62.9446,208.8129
1851,600630,龙头股份,1.5784,-5.0822,0.8071,11.5936,0.0,-0.0611
1852,600977,中国电影,-10.3779,-5.1634,,,-25.6039,
1853,002561,徐家汇,0.3616,-5.191,4.5074,2.5304,-6.25,4.4319999999999995
1854,002368,太极股份,9.5581,-5.2241,11.5925,27.5142,0.0,12.0865
1855,000719,大地传媒,16.7699,-5.2951,8.8474,10.2873,-25.0,8.8969
1856,000889,茂业通信,-9.691,-5.2973,8.7813,4.9992,-5.2835,8.7813
1857,603877,太平鸟,11.4742,-5.3912,,,-20.0,
1858,000919,金陵药业,-4.4356,-5.6483,3.1843,1.3034,-9.9156,3.5389999999999997
1859,002033,丽江旅游,-6.0429,-5.6544,6.1414,5.0018,14.0947,5.4417
1860,300210,森远股份,44.2474,-5.6901,5.9386,22.5025,0.0,5.7861
1861,300379,东方通,30.9569,-5.7283,111.4553,106.2836,-21.6028,111.4553
1862,600379,宝光股份,1.9313,-5.7988,8.0043,-17.3789,-7.4205,8.1726
1863,000419,通程控股,2.1738,-5.8517,5.6859,4.1465,-6.1389,5.3372
1864,300259,新天科技,20.9792,-5.9254,98.3038,92.9043,-25.0,92.9865
1865,000876,新希望,19.4124,-6.0331,7.8365,10.8844,-53.125,8.2784
1866,000540,中天金融,9.2803,-6.1679,27.3729,35.9833,-6.1004,25.6165
1867,002728,特一药业,-3.4523,-6.1995,9.8287,0.5479999999999999,-10.0,9.8287
1868,002668,奥马电器,13.5297,-6.3217,112.1745,104.8842,4.0,118.3006
1869,601966,玲珑轮胎,51.1859,-6.6619,,,-22.2222,
1870,000166,申万宏源,,-6.7228,6.721,-10.4933,-28.5714,6.6681
1871,600195,中牧股份,-10.017999999999999,-6.7328,9.6294,7.9477,-8.3994,10.0295
1872,600804,鹏博士,-1.294,-7.0396,14.1646,2.072,-14.2857,14.6253
1873,000961,中南建设,8.3144,-7.1039,-8.9835,19.2681,-68.0315,-0.5129
1874,603218,日月股份,2.8525,-7.1823,,,-17.6471,
1875,600812,华北制药,0.5346,-7.2344,0.586,4.6529,-11.1111,0.6473
1876,600644,乐山电力,5.305,-7.2616,19.2591,-0.0774,-6.7797,20.0303
1877,300452,山河药辅,7.2906,-7.3139,10.2867,10.0594,-51.8519,10.2867
1878,300478,杭州高新,-8.8117,-7.4079999999999995,5.1121,2.7987,0.0,5.1121
1879,600418,江淮汽车,-6.4716,-7.4719,52.4528,12.8457,-26.3158,62.4946
1880,603038,华立股份,30.5056,-7.6096,,,-26.4706,
1881,603838,四通股份,-10.6566,-7.7914,6.4768,11.8174,-54.5455,6.4768
1882,002117,东港股份,-0.0782,-7.8609,7.522,7.4727,-9.3702,7.1336
1883,601336,新华保险,,-7.8736,7.6179,6.8992,-7.8125,7.6169
1884,300195,长荣股份,-2.6562,-7.9073,63.071000000000005,49.9859,20.0,67.2537
1885,000975,银泰资源,0.7033,-7.952000000000001,5.8057,5.2132,-8.377,6.4532
1886,600335,国机汽车,-0.0649,-7.9533,26.0856,-18.6459,-47.343999999999994,27.6315
1887,300511,雪榕生物,-4.8423,-7.9803,92.3643,45.7636,-30.4348,93.6493
1888,002825,纳尔股份,21.4253,-7.9962,,,-30.8219,
1889,002727,一心堂,22.6603,-8.0627,9.1038,25.6856,-53.9409,9.0316
1890,002836,新宏泽,-16.8736,-8.1952,,,-30.0,
1891,000151,中成股份,71.6184,-8.2151,-1.06,-9.3448,-8.2108,-1.0676
1892,603817,海峡环保,4.867,-8.2761,,,-17.4274,
1893,300289,利德曼,-9.597999999999999,-8.4404,5.7887,2.8966,0.0,4.3567
1894,002137,麦达数字,-9.1611,-8.4451,10.5312,4.1878,-15.2239,10.2914
1895,603041,美思德,13.4392,-8.4639,,,-20.0,
1896,601375,中原证券,,-8.6087,,,-25.0,
1897,600616,金枫酒业,-11.4298,-8.6334,1.1096,6.111000000000001,-16.6667,1.6292
1898,002349,精华制药,38.9808,-8.6518,6.7010000000000005,6.1996,-61.809,4.0949
1899,603011,合锻智能,18.0791,-8.771,67.337,15.7718,-60.0,67.337
1900,002329,皇氏集团,-2.4218,-8.8303,4.3381,14.5248,2.5773,5.8205
1901,002389,南洋科技,39.5874,-8.9686,3.4702,5.6151,0.0,2.9389999999999996
1902,601727,上海电气,-13.4969,-9.1191,15.9707,11.4487,-1.0929,21.47
1903,603016,新宏泰,-4.7682,-9.144,73.3308,60.2407,-30.7692,75.3405
1904,300360,炬华科技,8.718,-9.1442,19.8171,8.4922,-40.9091,19.6549
1905,601601,中国太保,,-9.293,0.7533,15.3491,-8.3333,0.2553
1906,002709,天赐材料,9.9167,-9.3634,42.3557,44.676,-63.6364,34.8924
1907,600635,大众公用,-0.6105,-9.4576,27.939,25.1548,-25.6944,32.2801
1908,002730,电光科技,19.6316,-9.6459,5.002,17.187,-33.3333,2.9254
1909,600827,百联股份,-5.4262,-9.6489,5.4327,8.0949,-16.6667,9.8609
1910,300020,银江股份,-6.2331,-9.6853,11.0887,17.1757,-16.6667,10.9093
1911,002116,中国海诚,-15.1491,-9.6982,4.9962,5.5642,-16.6667,4.9962
1912,601555,东吴证券,,-9.847999999999999,3.9365,11.1355,-16.6667,3.5788
1913,002700,新疆浩源,-4.4453,-9.9365,6.6376,5.2528,-16.6667,6.9127
1914,600007,中国国贸,5.4132,-10.0208,8.0177,9.5034,-11.1111,8.0189
1915,300251,光线传媒,34.9625,-10.062999999999999,3.5311,13.7994,-57.1429,4.4824
1916,000625,长安汽车,-7.0183,-10.1252,24.2895,17.836,-12.2807,24.1606
1917,600109,国金证券,,-10.2352,7.6333,-21.1765,-10.4762,7.5348
1918,603626,科森科技,17.6446,-10.3348,,,-9.0909,
1919,603909,合诚股份,6.2139999999999995,-10.3512,88.4525,63.9337,-32.052,88.9634
1920,000020,深华发A,39.3104,-10.3764,1.5124,6.795,-11.7647,1.5124
1921,002327,富安娜,0.0563,-10.3949,18.6109,19.9153,-18.1818,18.6109
1922,000920,南方汇通,4.1316,-10.4964,-15.0354,4.605,10.7345,-12.5921
1923,600983,惠而浦,32.4658,-10.5417,-2.2968,15.2246,-11.7647,-2.2968
1924,300636,同和药业,12.6315,-10.6254,,,-12.0,
1925,002004,华邦健康,33.918,-10.6557,2.6149,23.4029,-12.5,1.0965
1926,603031,安德利,7.4292,-10.6573,,,-33.3333,
1927,002099,海翔药业,-8.9545,-10.7552,36.0275,41.0113,-22.2222,35.3755
1928,300162,雷曼股份,29.1382,-10.7765,4.8943,21.7777,-13.7931,4.9065
1929,603028,赛福天,12.502,-10.7856,4.7603,-6.8547,-20.0,4.7603
1930,000712,锦龙股份,4.8988,-10.787,7.1718,42.4648,0.0,7.9638
1931,300569,天能重工,-28.5552,-10.850999999999999,,,-32.8103,
1932,002348,高乐股份,29.8118,-10.8988,2.0135,5.2638,-57.1429,1.7786
1933,000598,兴蓉环境,8.6454,-11.1191,10.9115,17.6589,-12.5,10.2536
1934,603823,百合花,11.7076,-11.1201,,,-29.4118,
1935,000532,华金资本,54.9368,-11.2431,5.7521,51.0021,-42.9348,4.535
1936,000002,万科A,27.2249,-11.2538,16.7476,34.5937,-16.0,13.2503
1937,001696,宗申动力,18.3947,-11.283,-0.4878,5.0596,-13.2484,-3.5524
1938,002666,德联集团,6.1169,-11.3495,3.6182,9.7054,-20.0,3.4946
1939,000665,湖北广电,-6.4632,-11.3546,8.2108,6.4069,-12.5,4.5754
1940,600502,安徽水利,-17.8091,-11.3551,46.9267,37.9727,-50.0,38.8034
1941,600674,川投能源,-2.3748,-11.3842,11.4381,9.9205,-12.2908,11.5733
1942,002711,欧浦智网,46.5148,-11.5478,15.6456,8.242,-53.3333,14.7084
1943,603819,神力股份,10.5179,-11.6983,,,-35.7143,
