,code,name,c_name
69,300446,乐凯新材,雄安新区
70,300491,通合科技,雄安新区
71,600059,古越龙山,新零售
72,600122,宏图高科,新零售
73,600138,中青旅,新零售
74,600177,雅戈尔,新零售
75,600251,冠农股份,新零售
76,600280,中央商场,新零售
77,600306,商业城,新零售
78,600319,亚星化学,新零售
79,600327,大东方,新零售
80,600436,片仔癀,新零售
81,600594,益佰制药,新零售
82,600640,号百控股,新零售
83,600645,中源协和,新零售
84,600729,重庆百货,新零售
85,600757,长江传媒,新零售
86,600827,百联股份,新零售
87,600859,王府井,新零售
88,600978,宜华生活,新零售
89,600998,九州通,新零售
90,601010,文峰股份,新零售
91,601801,皖新传媒,新零售
92,601933,永辉超市,新零售
93,603001,奥康国际,新零售
94,603008,喜临门,新零售
95,603369,今世缘,新零售
96,603558,健盛集团,新零售
97,603898,好莱客,新零售
98,000100,TCL 集团,新零售
99,000529,广弘控股,新零售
100,000564,供销大集,新零售
101,000759,中百集团,新零售
102,000785,武汉中商,新零售
103,000826,启迪桑德,新零售
104,000861,海印股份,新零售
105,000882,华联股份,新零售
106,000887,中鼎股份,新零售
107,002005,德豪润达,新零售
108,002024,苏宁云商,新零售
109,002029,七 匹 狼,新零售
110,002069,獐子岛,新零售
111,002081,金 螳 螂,新零售
112,002183,怡 亚 通,新零售
113,002215,诺 普 信,新零售
114,002251,步 步 高,新零售
115,002264,新 华 都,新零售
116,002269,美邦服饰,新零售
117,002271,东方雨虹,新零售
118,002277,友阿股份,新零售
119,002291,星期六,新零售
120,002293,罗莱生活,新零售
121,002310,东方园林,新零售
122,002327,富安娜,新零售
123,002344,海宁皮城,新零售
124,002345,潮宏基,新零售
125,002397,梦洁股份,新零售
126,002419,天虹股份,新零售
127,002425,凯撒文化,新零售
128,002444,巨星科技,新零售
129,002477,雏鹰农牧,新零售
130,002488,金固股份,新零售
131,002503,搜于特,新零售
132,002538,司尔特,新零售
133,002561,徐家汇,新零售
134,002563,森马服饰,新零售
135,002607,亚夏汽车,新零售
136,002656,摩登大道,新零售
137,002697,红旗连锁,新零售
138,002719,麦趣尔,新零售
139,300005,探路者,新零售
140,300027,华谊兄弟,新零售
141,300085,银之杰,新零售
142,300131,英唐智控,新零售
143,300177,中海达,新零售
144,300205,天喻信息,新零售
145,300220,金运激光,新零售
146,300232,洲明科技,新零售
147,300244,迪安诊断,新零售
148,300267,尔康制药,新零售
149,300616,尚品宅配,新零售
150,600112,*ST天成,智能电网
151,600192,长城电工,智能电网
152,600268,国电南自,智能电网
153,600312,平高电气,智能电网
154,600406,国电南瑞,智能电网
155,600525,长园集团,智能电网
156,600560,金自天正,智能电网
157,600590,泰豪科技,智能电网
158,600885,宏发股份,智能电网
159,600973,宝胜股份,智能电网
160,603556,海兴电力,智能电网
161,000021,深科技,智能电网
162,000400,许继电气,智能电网
163,000507,珠海港,智能电网
164,000551,创元科技,智能电网
165,000585,东北电气,智能电网
166,000682,东方电子,智能电网
167,002028,思源电气,智能电网
168,002058,威 尔 泰,智能电网
169,002074,国轩高科,智能电网
170,002090,金智科技,智能电网
171,002112,三变科技,智能电网
172,002121,科陆电子,智能电网
173,002123,梦网荣信,智能电网
