,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
1016,300376,易事特,0.2868,1255.2301,1.2906,278.94,0.1298,2773.4977
1017,000521,美菱电器,2.9501,122.0298,1.2884,279.4163,0.3244,1109.7411
1018,600537,亿晶光电,0.7138,504.343,1.2837,280.4394,0.2343,1536.4917
1019,600143,金发科技,1.3807,260.7373,1.2819999999999998,280.8112,0.4311,835.0731
1020,601965,中国汽研,1.3854,259.8528,1.2816,280.8989,0.1424,2528.0899
1021,002741,光华科技,0.9276,388.0983,1.2805,281.1402,0.4272,842.6966
1022,002539,云图控股,3.3119,108.6989,1.2793,281.4039,0.5357,672.0179
1023,601899,紫金矿业,23.9786,15.0134,1.2789,281.4919,0.7099,507.1137
1024,600727,鲁北化工,5.0676,71.0395,1.2776,281.7783,0.2107,1708.5904
1025,601966,玲珑轮胎,1.8226,197.52,1.2742,282.5302,0.4571,787.5738
1026,002262,恩华药业,1.1113,323.9449,1.2726,282.8854,0.3973,906.1163
1027,000639,西王食品,2.5398,141.7434,1.2706,283.3307,0.7554,476.5687
1028,002836,新宏泽,0.5379999999999999,669.145,1.2699,283.4869,0.1711,2104.0327
1029,300628,亿联网络,1.9265,186.8674,1.2684,283.8221,0.1869,1926.1637
1030,600088,中视传媒,17.9385,20.0686,1.2678,283.9565,0.1733,2077.3226
1031,000655,金岭矿业,0.8711,413.2706,1.2665,284.2479,0.2496,1442.3077
1032,600602,云赛智联,0.8613,417.9728,1.2665,284.2479,0.2465,1460.4462
1033,601012,隆基股份,1.0968,328.2276,1.2664,284.2704,0.2114,1702.9328
1034,000027,深圳能源,0.6769,531.8363,1.2648,284.63,0.1723,2089.379
1035,300507,苏奥传感,1.1135,323.3049,1.2647,284.6525,0.1951,1845.2076
1036,300207,欣旺达,1.1613,309.9974,1.2643,284.7425,0.414,869.5652
1037,300235,方直科技,0.7988,450.676,1.2608,285.533,0.1084,3321.0332
1038,000807,云铝股份,10.8813,33.0843,1.2596,285.805,0.5177,695.3834
1039,000570,苏常柴A,1.4114,255.0659,1.2596,285.805,0.3347,1075.5901
1040,603089,正裕工业,0.9024,398.9362,1.2573,286.3278,0.3034,1186.5524
1041,002635,安洁科技,0.8431,426.9956,1.2564,286.533,0.2231,1613.6262
1042,000977,浪潮信息,2.1481,167.59,1.2556,286.7155,0.5255,685.0618
1043,600794,保税科技,3.9361,91.4611,1.255,286.8526,0.1314,2739.7259999999997
1044,002511,中顺洁柔,1.9371,185.8448,1.2541,287.0584,0.5026,716.2754
1045,000823,超声电子,0.8872,405.77099999999996,1.2538,287.1271,0.3324,1083.0325
1046,002725,跃岭股份,1.2419,289.8784,1.2528,287.3563,0.3621,994.2005
1047,002226,江南化工,0.6004,599.6003,1.252,287.5399,0.1357,2652.9108
1048,300041,回天新材,0.8637,416.8114,1.2505,287.8848,0.3476,1035.6732
1049,300374,恒通科技,0.46299999999999997,777.5378,1.2472,288.6466,0.24,1500.0
1050,600099,林海股份,0.9461,380.5095,1.2446,289.2496,0.2476,1453.9579999999999
1051,002752,昇兴股份,1.2391,290.5335,1.2444,289.296,0.4391,819.8588
1052,300483,沃施股份,0.6038,596.2239,1.2435,289.5054,0.2884,1248.2663
1053,002463,沪电股份,1.1903,302.4448,1.2434,289.5287,0.4693,767.0999
1054,603039,泛微网络,3.4551,104.1938,1.2428,289.6685,0.1519,2369.9803
1055,600898,三联商社,0.8274,435.0979,1.2425,289.7384,0.3166,1137.0815
1056,002429,兆驰股份,0.7277,494.7094,1.2419,289.8784,0.1843,1953.3370000000002
1057,600673,东阳光科,1.65,218.1818,1.2386,290.6507,0.3899,923.3137
1058,600056,中国医药,0.9147,393.5717,1.2383,290.7211,0.40399999999999997,891.0891
1059,600805,悦达投资,3.1009,116.0953,1.2373,290.9561,0.1992,1807.2289
1060,002333,罗普斯金,2.3377,153.9975,1.2313,292.3739,0.3299,1091.2398
1061,300390,天华超净,0.8811,408.5802,1.2307,292.5165,0.377,954.9072
1062,002025,航天电器,0.5728,628.4916,1.2282,293.1119,0.198,1818.1818
1063,603716,塞力斯,0.4273,842.4994,1.2281,293.1357,0.1836,1960.7843
1064,002284,亚太股份,1.2375,290.9091,1.2242,294.0696,0.3698,973.4992
1065,002185,华天科技,1.8249,197.2711,1.224,294.1176,0.4615,780.065
1066,601208,东材科技,1.575,228.5714,1.224,294.1176,0.4122,873.3624
1067,002521,齐峰新材,1.3686,263.0425,1.2239,294.1417,0.2822,1275.691
1068,002299,圣农发展,6.5319,55.1141,1.2238,294.1657,0.7934,453.7434
1069,600080,金花股份,1.1516,312.6085,1.2224,294.5026,0.4535,793.8258
1070,601222,林洋能源,0.4299,837.404,1.2223,294.5267,0.1222,2945.9902
1071,603189,网达软件,0.3003,1198.8012,1.2223,294.5267,0.0546,6593.4066
1072,002057,中钢天源,0.7461,482.509,1.2204,294.9853,0.2599,1385.1481
1073,002696,百洋股份,1.1958,301.0537,1.2198,295.1303,0.4366,824.5534
1074,002581,未名医药,0.5985,601.5038,1.2155,296.1744,0.177,2033.8983
1075,002759,天际股份,2.2123,162.7266,1.2143,296.4671,0.4291,838.9653
1076,002650,加加食品,6.8791,52.3324,1.2122,296.9807,0.7043,511.1458
1077,002745,木林森,1.2204,294.9853,1.212,297.0297,0.1807,1992.2524
1078,300085,银之杰,0.7472,481.7987,1.2115,297.1523,0.2325,1548.3871
1079,600458,时代新材,0.8802,408.99800000000005,1.2094,297.6683,0.3006,1197.6048
1080,600567,山鹰纸业,2.0244,177.8305,1.2092,297.7175,0.4337,830.0669
1081,603031,安德利,106.4799,3.3809,1.2087,297.8407,0.9053,397.6582
1082,600490,鹏欣资源,32.2027,11.1792,1.2077,298.0873,0.3204,1123.5955
1083,002329,皇氏集团,0.469,767.5906,1.2044,298.904,0.2121,1697.3126
1084,002021,中捷资源,1.2886,279.373,1.2038,299.053,0.1964,1832.9939
1085,000951,中国重汽,1.9339,186.1523,1.2027,299.3265,0.3506,1026.8112
1086,002052,同洲电子,0.4969,724.4918,1.2006,299.8501,0.1347,2672.6058
1087,000650,仁和药业,2.3419,153.7213,1.1992,300.2001,0.4158,865.8009
1088,600517,置信电气,0.3678,978.7928,1.1991,300.2252,0.1695,2123.8938
1089,603818,曲美家居,9.2341,38.9859,1.199,300.2502,0.3357,1072.3861
1090,000901,航天科技,1.2791,281.4479,1.1978,300.551,0.4147,868.0974
1091,002409,雅克科技,1.4802,243.2104,1.1971,300.7268,0.3532,1019.2525
1092,601313,江南嘉捷,0.5885,611.7247,1.1968,300.8021,0.2588,1391.0355
1093,300525,博思软件,0.4785,752.3511,1.1965,300.8776,0.0764,4712.0419
1094,600336,澳柯玛,2.6252,137.1324,1.1964,300.9027,0.3829,940.1933
1095,603816,顾家家居,3.9707,90.6641,1.1944,301.4066,0.3632,991.1894
1096,002751,易尚展示,0.6186,581.9593,1.1939,301.5328,0.2595,1387.2832
1097,002697,红旗连锁,84.5094,4.2599,1.1919,302.0388,0.9107,395.3003
1098,002389,南洋科技,0.8259,435.8881,1.1903,302.4448,0.237,1518.9873
1099,002560,通达股份,0.4307,835.8486,1.1902,302.4702,0.2259,1593.6255
1100,002543,万和电气,2.4446,147.2634,1.1884,302.9283,0.405,888.8889
